sku,upc,receiver_no,dept_number,quantity_ordered,dept_name
6532610,2200865326101,16536,7,3,LINGERIE
4951231,2200849512315,16537,2,5,MENSWEAR
4951232,2200849512322,16537,2,5,MENSWEAR
4951233,2200849512339,16537,2,5,MENSWEAR
4951234,2200849512346,16537,2,5,MENSWEAR
2895533,2200828955331,16538,10,1000,"Gifts and Seasonal"
2895535,2200828955355,16538,10,1000,"Gifts and Seasonal"
2895536,2200828955362,16538,10,1000,"Gifts and Seasonal"
2895537,2895537500000,16538,10,1000,"Gifts and Seasonal"
2895538,2895538200000,16538,10,1000,"Gifts and Seasonal"
7481986,2200874819861,16540,1,1000,HOME
7481988,2200874819885,16541,1,1000,HOME
1313754,2200813137544,16542,1,100,HOME
2895525,2200828955256,16543,10,20,"Gifts and Seasonal"
6641517,2200866415170,16544,4,100,WOMENSWEAR
2895526,2200828955263,16546,10,20,"Gifts and Seasonal"
2895545,2895545000000,16547,10,10,"Gifts and Seasonal"
2895568,2895568900000,16548,10,20,"Gifts and Seasonal"
4666460,2200846664604,16549,7,100,LINGERIE
4947028,2200849470288,16549,5,100,"WOMENS ACCESSORIES"
5113514,2200851135144,16549,4,100,WOMENSWEAR
4666460,2200846664604,16550,7,100,LINGERIE
4947028,2200849470288,16550,5,100,"WOMENS ACCESSORIES"
5113514,2200851135144,16550,4,100,WOMENSWEAR
6641517,2200866415170,16551,4,200,WOMENSWEAR
2895528,2895528300000,16552,10,100,"Gifts and Seasonal"
2895532,2895532000000,16552,10,100,"Gifts and Seasonal"
2895541,2200828955416,16552,10,100,"Gifts and Seasonal"
2895542,2895542900000,16552,10,100,"Gifts and Seasonal"
2895543,2200828955430,16552,10,100,"Gifts and Seasonal"
2895544,2895544300000,16552,10,100,"Gifts and Seasonal"
2895545,2895545000000,16552,10,100,"Gifts and Seasonal"
2895548,2200828955485,16552,10,100,"Gifts and Seasonal"
2895550,2895550400000,16552,10,100,"Gifts and Seasonal"
2895552,2200828955522,16552,10,100,"Gifts and Seasonal"
2895553,2895553500000,16552,10,100,"Gifts and Seasonal"
2895572,2200828955720,16552,10,100,"Gifts and Seasonal"
2895577,2895577100000,16552,10,100,"Gifts and Seasonal"
2895578,2895578800000,16552,10,100,"Gifts and Seasonal"
2895581,2200828955812,16552,10,100,"Gifts and Seasonal"
3777001,2200837770017,16553,1,100,HOME
3777002,2200837770024,16553,1,100,HOME
3777003,2200837770031,16553,1,100,HOME
3777004,2200837770048,16553,1,100,HOME
3777030,2200837770307,16553,1,100,HOME
3777031,2200837770314,16553,1,100,HOME
3777032,2200837770321,16553,1,100,HOME
3777033,2200837770338,16553,1,100,HOME
3777994,2200837779942,16553,1,100,HOME
3778029,2200837780290,16553,1,100,HOME
3778032,2200837780320,16553,1,100,HOME
3778034,2200837780344,16553,1,100,HOME
3778045,2200837780450,16553,1,100,HOME
3778046,2200837780467,16553,1,100,HOME
6559735,2200865597358,16554,7,10,LINGERIE
6559736,2200865597365,16554,7,10,LINGERIE
6559737,2200865597372,16554,7,10,LINGERIE
6559739,2200865597396,16554,7,10,LINGERIE
6559740,2200865597402,16554,7,10,LINGERIE
6559741,2200865597419,16554,7,10,LINGERIE
6565876,2200865658769,16554,7,10,LINGERIE
1313767,2200813137674,16556,1,10,HOME
3580195,2200835801959,16556,2,10,MENSWEAR
3720195,2200837201955,16556,12,10,"Mens Accessories"
4992896,2200849928963,16556,7,10,LINGERIE
5008070,2200850080704,16556,3,10,CHILDRENSWEAR
5014254,2200850142549,16556,5,10,"WOMENS ACCESSORIES"
5113516,2200851135168,16556,4,10,WOMENSWEAR
5390793,2200853907930,16556,10,10,"Gifts and Seasonal"
6706154,2200867061543,16557,4,20,WOMENSWEAR
3720200,2200837202006,16558,12,10,"Mens Accessories"
3720203,2200837202037,16558,12,10,"Mens Accessories"
3720204,2200837202044,16558,12,10,"Mens Accessories"
7000028,2200870000287,16559,4,10,WOMENSWEAR
7000029,2200870000294,16559,4,10,WOMENSWEAR
7000030,2200870000300,16559,4,10,WOMENSWEAR
7500175,2200875001753,16560,7,10,LINGERIE
7500176,2200875001760,16560,7,10,LINGERIE
7500177,2200875001777,16560,7,10,LINGERIE
6243632,2200862436322,16561,2,10,MENSWEAR
6294788,2200862947880,16561,3,10,CHILDRENSWEAR
6305693,2200863056932,16561,1,10,HOME
6376042,2200863760426,16561,12,10,"Mens Accessories"
6491987,2200864919878,16561,5,10,"WOMENS ACCESSORIES"
6519832,2200865198326,16561,7,10,LINGERIE
6537224,2200865372245,16561,4,10,WOMENSWEAR
6566374,2200865663749,16561,6,10,Cosmetics
6189797,2200861897971,16562,1,10,HOME
5538384,2200855383848,16563,10,10,"Gifts and Seasonal"
6019824,2200860198246,16563,7,10,LINGERIE
6019826,2200860198260,16563,7,10,LINGERIE
6189799,2200861897995,16563,1,10,HOME
6211845,2200862118457,16563,3,10,CHILDRENSWEAR
6211847,2200862118471,16563,3,10,CHILDRENSWEAR
6253035,2200862530358,16563,5,10,"WOMENS ACCESSORIES"
6253036,2200862530365,16563,5,10,"WOMENS ACCESSORIES"
6355959,2200863559594,16563,4,10,WOMENSWEAR
6355966,2200863559662,16563,4,10,WOMENSWEAR
6365669,2200863656699,16563,7,10,LINGERIE
6365670,2200863656705,16563,7,10,LINGERIE
6468809,2200864688095,16563,10,10,"Gifts and Seasonal"
6558989,2200865589896,16563,2,10,MENSWEAR
