sku,upc,receiver_no,dept_number,quantity_ordered,dept_name
6532610,2200865326101,16536,7,3,LINGERIE
4951231,2200849512315,16537,2,5,MENSWEAR
4951232,2200849512322,16537,2,5,MENSWEAR
4951233,2200849512339,16537,2,5,MENSWEAR
4951234,2200849512346,16537,2,5,MENSWEAR
2895533,2200828955331,16538,10,1000,"Gifts and Seasonal"
2895535,2200828955355,16538,10,1000,"Gifts and Seasonal"
2895536,2200828955362,16538,10,1000,"Gifts and Seasonal"
2895537,2895537500000,16538,10,1000,"Gifts and Seasonal"
2895538,2895538200000,16538,10,1000,"Gifts and Seasonal"
7481986,2200874819861,16540,1,1000,HOME
7481988,2200874819885,16541,1,1000,HOME
1313754,2200813137544,16542,1,100,HOME
2895525,2200828955256,16543,10,20,"Gifts and Seasonal"
2895526,2200828955263,16546,10,20,"Gifts and Seasonal"
2895545,2895545000000,16547,10,10,"Gifts and Seasonal"
2895568,2895568900000,16548,10,20,"Gifts and Seasonal"
4666460,2200846664604,16549,7,100,LINGERIE
4947028,2200849470288,16549,5,100,"WOMENS ACCESSORIES"
5113514,2200851135144,16549,4,100,WOMENSWEAR
4666460,2200846664604,16550,7,100,LINGERIE
4947028,2200849470288,16550,5,100,"WOMENS ACCESSORIES"
5113514,2200851135144,16550,4,100,WOMENSWEAR
6641517,2200866415170,16551,4,200,WOMENSWEAR
2895528,2895528300000,16552,10,100,"Gifts and Seasonal"
2895532,2895532000000,16552,10,100,"Gifts and Seasonal"
2895541,2200828955416,16552,10,100,"Gifts and Seasonal"
2895542,2895542900000,16552,10,100,"Gifts and Seasonal"
2895543,2200828955430,16552,10,100,"Gifts and Seasonal"
2895544,2895544300000,16552,10,100,"Gifts and Seasonal"
2895545,2895545000000,16552,10,100,"Gifts and Seasonal"
2895548,2200828955485,16552,10,100,"Gifts and Seasonal"
2895550,2895550400000,16552,10,100,"Gifts and Seasonal"
2895552,2200828955522,16552,10,100,"Gifts and Seasonal"
2895553,2895553500000,16552,10,100,"Gifts and Seasonal"
2895572,2200828955720,16552,10,100,"Gifts and Seasonal"
2895577,2895577100000,16552,10,100,"Gifts and Seasonal"
2895578,2895578800000,16552,10,100,"Gifts and Seasonal"
2895581,2200828955812,16552,10,100,"Gifts and Seasonal"
3777001,2200837770017,16553,1,100,HOME
3777002,2200837770024,16553,1,100,HOME
3777003,2200837770031,16553,1,100,HOME
3777004,2200837770048,16553,1,100,HOME
3777030,2200837770307,16553,1,100,HOME
3777031,2200837770314,16553,1,100,HOME
3777032,2200837770321,16553,1,100,HOME
3777033,2200837770338,16553,1,100,HOME
3777994,2200837779942,16553,1,100,HOME
3778029,2200837780290,16553,1,100,HOME
3778032,2200837780320,16553,1,100,HOME
3778034,2200837780344,16553,1,100,HOME
3778045,2200837780450,16553,1,100,HOME
3778046,2200837780467,16553,1,100,HOME
6559735,2200865597358,16554,7,10,LINGERIE
6559736,2200865597365,16554,7,10,LINGERIE
6559737,2200865597372,16554,7,10,LINGERIE
6559739,2200865597396,16554,7,10,LINGERIE
6559740,2200865597402,16554,7,10,LINGERIE
6559741,2200865597419,16554,7,10,LINGERIE
6565876,2200865658769,16554,7,10,LINGERIE
1313767,2200813137674,16556,1,10,HOME
3580195,2200835801959,16556,2,10,MENSWEAR
3720195,2200837201955,16556,12,10,"Mens Accessories"
4992896,2200849928963,16556,7,10,LINGERIE
5008070,2200850080704,16556,3,10,CHILDRENSWEAR
5014254,2200850142549,16556,5,10,"WOMENS ACCESSORIES"
5113516,2200851135168,16556,4,10,WOMENSWEAR
5390793,2200853907930,16556,10,10,"Gifts and Seasonal"
6706154,2200867061543,16557,4,20,WOMENSWEAR
3720200,2200837202006,16558,12,10,"Mens Accessories"
3720203,2200837202037,16558,12,10,"Mens Accessories"
3720204,2200837202044,16558,12,10,"Mens Accessories"
7000028,2200870000287,16559,4,10,WOMENSWEAR
7000029,2200870000294,16559,4,10,WOMENSWEAR
7000030,2200870000300,16559,4,10,WOMENSWEAR
6243632,2200862436322,16561,2,10,MENSWEAR
6294788,2200862947880,16561,3,10,CHILDRENSWEAR
6305693,2200863056932,16561,1,10,HOME
6376042,2200863760426,16561,12,10,"Mens Accessories"
6491987,2200864919878,16561,5,10,"WOMENS ACCESSORIES"
6519832,2200865198326,16561,7,10,LINGERIE
6537224,2200865372245,16561,4,10,WOMENSWEAR
6566374,2200865663749,16561,6,10,Cosmetics
6189797,2200861897971,16562,1,10,HOME
6195417,2200861954179,16564,2,10,MENSWEAR
6195419,2200861954193,16564,2,10,MENSWEAR
7101058,2200871010582,16566,3,10,CHILDRENSWEAR
1313767,2200813137674,16567,1,10,HOME
6641519,2200866415194,16568,4,10,WOMENSWEAR
6357682,2200863576829,16569,12,1,"Mens Accessories"
6357786,2200863577864,16569,12,1,"Mens Accessories"
6357789,2200863577895,16569,12,1,"Mens Accessories"
6357790,2200863577901,16569,12,1,"Mens Accessories"
6721278,2200867212785,16569,12,1,"Mens Accessories"
6721281,2200867212815,16569,12,3,"Mens Accessories"
6834157,2200868341576,16569,12,20,"Mens Accessories"
6834158,2200868341583,16569,12,20,"Mens Accessories"
6834159,2200868341590,16569,12,8,"Mens Accessories"
6834160,2200868341606,16569,12,8,"Mens Accessories"
6834161,2200868341613,16569,12,4,"Mens Accessories"
7021477,2200870214776,16569,2,1,MENSWEAR
7731140,2200877311409,16569,3,5,CHILDRENSWEAR
